"A23","{}","{{K15 - K16, M1 - M2}, {2*K15 + K16, 2*M1 + M2}, {2*K15 + K16 - K3 - K6, 2*M1 + M2}, {3*K1 - 2*K15 - K16 + 3*K2 + K3 + K6, 2*M1 + M2 - 3*M3}, {2*K3 + K4 - 2*K6 + 4*K9, -4*K15 - 2*K16 + K4 - 4*K9, 2*M1 + M2}, {2*K3 + K4 - 2*K6 + 4*K9, K15 - K16 + K4/2 + K9, M1 - M2}, {K3 + K4 + (3*K7)/2 - 2*K9, 2*K15 + K16 + K7, 2*M1 + M2}, {K3 + K4 + (3*K7)/2 - 2*K9, 4*K15 + 2*K16 - 6*K2 - K7, 2*M1 + M2 - 3*M3}}","Text[""(Demonstrably impossible)""]"
"A23B1","{-K15 + K16, -M1 + M2}","{{K15, M1}, {3*K15 - K3 - K6, M1}, {3*K1 - 3*K15 + 3*K2 + K3 + K6, M1 - M3}}","Text[""(Demonstrably impossible)""]"
"A23B2","{2*K15 + K16, 2*M1 + M2}","{K3 + K6, {K15, M1}, {3*K1 + 3*K2 + K3 + K6, M3}}",""
"A23B3","{-2*K15 - K16 + K3 + K6, 2*M1 + M2}","{2*K15 + K16, {K15 - K16, M1}, {K1 + K2, M3}}",""
"A23B4","{3*K1 - 2*K15 - K16 + 3*K2 + K3 + K6, (-2*M1)/3 - M2/3 + M3}","{{K15 - K16, M1 - M2}, {2*K15 + K16, 2*M1 + M2}, {K1 + K2, 2*M1 + M2}}","Text[""(Demonstrably impossible)""]"
"A23C1","{2*K15 + K16 - K3 - K4 + K6, K15 + K16/2 - K4/4 + K9, 2*M1 + M2}","{2*K15 + K16, 4*K15 + 2*K16 - 2*K3 - K4, {3*K1 - 4*K15 - 2*K16 + 3*K2 + 2*K3 + K4, M3}, {K15 - K16, M1}, {2*K16 - K4, M1}, {2*K3 + K4 + K7, 2*K15 + K16 + K7}, {6*K2 + 2*K3 + K4 + 4*K7, 4*K15 + 2*K16 + 2*K3 + K4 + 3*K7, M3}}",""
"A23C2","{2*K15 - 2*K16 - K3 + K4/2 + K6, K15 - K16 + K4/2 + K9, -M1 + M2}","{K15 - K16, {-6*K1 + 8*K15 - 2*K16 - 6*K2 - 4*K3 + K4, M1 - M3}, {2*K16 - K4, M1}, {2*K15 + K16, M1}, {8*K15 - 2*K16 - 4*K3 + K4, M1}, {3*K16 - 3*K2 - K3 - 2*K4 - 2*K7, 12*K15 - 12*K2 + 2*K3 + 4*K4 + K7, M1 - M3}, {6*K16 - 2*K3 - 4*K4 - K7, 12*K15 + 2*K3 + 4*K4 + 7*K7, M1}}","Text[""(Demonstrably impossible)""]"
"A23C3","{2*K15 + K16 + K7, (3*K15)/2 + (3*K16)/4 - K3/2 - K4/2 + K9, 2*M1 + M2}","{2*K15 + K16, 2*K15 + K16 - K3 - K6, {K15 - K16, M1}, {K3 + K6, 2*K15 + K16 - K4 + 2*K6}, {2*K15 + K16 - 2*K2, M3}, {3*K1 - 2*K15 - K16 + 3*K2 + K3 + K6, M3}, {18*K16 - 2*K3 - 9*K4 - 2*K6, 36*K15 - 22*K3 - 9*K4 + 14*K6, M1}}",""
"A23C4","{-4*K15 - 2*K16 + 6*K2 + K7, -3*K15 - (3*K16)/2 + (9*K2)/2 - K3/2 - K4/2 + K9, (-2*M1)/3 - M2/3 + M3}","{3*K1 - 2*K15 - K16 + 3*K2 + K3 + K6, {K15 - K16, M1 - M2}, {2*K15 + K16 - 2*K2, 2*M1 + M2}, {2*K15 + K16, 2*M1 + M2}, {2*K15 + K16 - K3 - K6, 2*M1 + M2}, {9*K16 - 9*K2 + 5*K3 - 4*K6, 36*K15 - 36*K2 + 2*K3 + 9*K4 + 2*K6, M1 - M2}, {18*K2 - 10*K3 - 9*K4 + 8*K6, 2*K15 + K16 - K3 - K4 + K6, 2*M1 + M2}}","Text[""(Demonstrably impossible)""]"
"A23B2C1","{2*K15 + K16, K3 + K6, 2*M1 + M2}","{}","Text[""(Demonstrably impossible)""]"
"A23B1D1","{K15, K16, M1, M2}","{K3 + K6, {3*K1 + 3*K2 + K3 + K6, M3}}",""
"A23B1D2","{-K15 + K16, -3*K15 + K3 + K6, M1, M2}","{K15, {K1 + K2, M3}}",""
"A23B1D3","{-K15 + K16, 3*K1 - 3*K15 + 3*K2 + K3 + K6, -M1 + M2, -M1 + M3}","{{K15, M1}, {K1 + K2, M1}}",""
"A23B1D4","{-K15 + K16, -K3 + K4/2 + K6, K4/2 + K9, -M1 + M2}","{}","Text[""(Demonstrably impossible)""]"
"A23B2D2","{2*K15 + K16, 3*K1 + 3*K2 + K3 + K6, 2*M1 + M2, M3}","{K1 + K2, {K15, M1}}",""
"A23B2D3","{2*K15 + K16, -K3 - K4 + K6, -1/4*K4 + K9, 2*M1 + M2}","{2*K3 + K4}","Text[""(Demonstrably impossible)""]"
"A23B2D4","{2*K15 + K16, K7, -1/2*K3 - K4/2 + K9, 2*M1 + M2}","{K3 + K6}","Text[""(Demonstrably impossible)""]"
"A23B3D2","{K1 + K2, -2*K15 - K16 + K3 + K6, 2*M1 + M2, M3}","{2*K15 + K16, {K15 - K16, M1}}",""
"A23B3D3","{-4*K15 - 2*K16 + 2*K3 + K4, -2*K15 - K16 + K3 + K6, K3/2 + K9, 2*M1 + M2}","{2*K15 + K16}","Text[""(Demonstrably impossible)""]"
"A23B3D4","{-2*K15 - K16 + K3 + K6, 2*K15 + K16 + K7, (3*K15)/2 + (3*K16)/4 - K3/2 - K4/2 + K9, 2*M1 + M2}","{2*K15 + K16}","Text[""(Demonstrably impossible)""]"
